Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
KF954093.1	Human papillomavirus type 16	GenBank	set:KF954093		Sun,Y.-F., Jiang,T., Chen,C.-J.	Anhui Medical University, Graduate School	China	2014-03-03	HPV16-AH2	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7906	complete	NA	NA	China	China	Homo sapiens		2013			Human papillomavirus type 16 isolate HPV16-AH2, complete genome	HPV_16	Global	2013-07-01	KF954093_1|Global|HPV_16|HPV16-AH2|2013-07-01
JF304768.1	Human papillomavirus 152	GenBank	set:JF304768		Chen,Z., Wood,C.E., Burk,R.D.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2014-02-08	Muc17.1	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	dsDNA	7480	complete	NA	NA	USA	USA	Homo sapiens	mucosa	2010			Human papillomavirus type 152 isolate Muc17.1, complete genome	HPV_152	Global	2010-07-01	JF304768_1|Global|HPV_152|Muc17_1|2010-07-01
JF304769.1	human papillomavirus 36	GenBank	set:JF304769		Chen,Z., Wood,C.E., Burk,R.D.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2014-02-08	Muc17.2	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	dsDNA	7736	complete	NA	NA	USA	USA	Homo sapiens	mucosa	2010			Human papillomavirus type 36 isolate Muc17.2, complete genome	HPV_36	Global	2010-07-01	JF304769_1|Global|HPV_36|Muc17_2|2010-07-01
KC862317.1	human papillomavirus 168	GenBank	set:KC862317		Li,J., Pan,Y., Deng,Q., Cai,H., Ke,Y.	Peking University Cancer Hospital & Institute, Genetic Department	China	2013-11-18	KC15	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	dsDNA	7204	complete	NA	1	China	China	Homo sapiens		2008-10-30			Human papillomavirus type 168 isolate KC15, complete genome	HPV_168	Global	2008-10-30	KC862317_1|Global|HPV_168|KC15|2008-10-30
KC862318.1	Human papillomavirus 167	GenBank	set:KC862318		Li,J., Pan,Y., Deng,Q., Cai,H., Ke,Y.	Peking University Cancer Hospital & Institute, Genetic Department	China	2013-11-18	KC10	Gammapapillomavirus 21	Gammapapillomavirus	Papillomaviridae	dsDNA	7228	complete	NA	1	China	China	Homo sapiens		2008-10-30			Human papillomavirus type 167 isolate KC10, complete genome	HPV_167	Global	2008-10-30	KC862318_1|Global|HPV_167|KC10|2008-10-30
KC860269.1	human papillomavirus 58	GenBank	set:KC860269		Li,Y., Wang,X., Ni,T., Wang,F., Lu,W., Zhu,J., Xie,X., Zheng,Z.M., Zheng,Z.-M.	Center for Cancer Research, National Cancer Instituttes, Tumor Virus RNA Biology Section, Gene Regulation and Chromosome Biology Laboratory	USA	2013-07-15	CNZJ-1	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7824	complete	NA	1	China	China	Homo sapiens		2013-03-11			Human papillomavirus type 58 strain CNZJ-1, complete genome	HPV_58	Global	2013-03-11	KC860269_1|Global|HPV_58|CNZJ-1|2013-03-11
KC860270.1	human papillomavirus 58	GenBank	set:KC860270		Li,Y., Wang,X., Ni,T., Wang,F., Lu,W., Zhu,J., Xie,X., Zheng,Z.M., Zheng,Z.-M.	Center for Cancer Research, National Cancer Instituttes, Tumor Virus RNA Biology Section, Gene Regulation and Chromosome Biology Laboratory	USA	2013-07-15	CNZJ-3	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7824	complete	NA	1	China	China	Homo sapiens		2013-03-11			Human papillomavirus type 58 strain CNZJ-3, complete genome	HPV_58	Global	2013-03-11	KC860270_1|Global|HPV_58|CNZJ-3|2013-03-11
KC860271.1	human papillomavirus 58	GenBank	set:KC860271		Li,Y., Wang,X., Ni,T., Wang,F., Lu,W., Zhu,J., Xie,X., Zheng,Z.M., Zheng,Z.-M.	Center for Cancer Research, National Cancer Instituttes, Tumor Virus RNA Biology Section, Gene Regulation and Chromosome Biology Laboratory	USA	2013-07-15	CNZJ-2	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7824	complete	NA	1	China	China	Homo sapiens		2013-03-11			Human papillomavirus type 58 strain CNZJ-2, complete genome	HPV_58	Global	2013-03-11	KC860271_1|Global|HPV_58|CNZJ-2|2013-03-11
JN211193.1	Human papillomavirus 154	GenBank	set:JN211193		Ure,A.E., Forslund,O.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2013-06-05	PV77	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7286	complete	NA	NA	Sweden	Sweden	Homo sapiens		2009			Human papillomavirus type 154 isolate PV77, complete genome	HPV_154	Global	2009-07-01	JN211193_1|Global|HPV_154|PV77|2009-07-01
JN211194.1	Human papillomavirus 5	GenBank	set:JN211194		Ure,A.E., Matsukura,T., Forslund,O.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2013-06-05	S401	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	dsDNA	7746	complete	NA	NA	Japan	Japan	Homo sapiens		2009			Human papillomavirus type 5 isolate S401, complete genome	HPV_5	Global	2009-07-01	JN211194_1|Global|HPV_5|S401|2009-07-01
JN211195.1	Human papillomavirus 17	GenBank	set:JN211195		Ure,A.E., Matsukura,T., Forslund,O.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2013-06-05	S410	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	dsDNA	7426	complete	NA	NA	Japan	Japan	Homo sapiens		2009			Human papillomavirus type 17 isolate S410, complete genome	HPV_17	Global	2009-07-01	JN211195_1|Global|HPV_17|S410|2009-07-01
JN211196.1	Human papillomavirus 38	GenBank	set:JN211196		Ure,A.E., Matsukura,T., Forslund,O.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2013-06-05	S418	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	dsDNA	7397	complete	NA	NA	Japan	Japan	Homo sapiens		2009			Human papillomavirus type 38 isolate S418, complete genome	HPV_38	Global	2009-07-01	JN211196_1|Global|HPV_38|S418|2009-07-01
KC108721.1	Human papillomavirus 175	GenBank	set:KC108721		Johansson,H., Bzhalava,D., Ekstrom,J., Hultin,E., Dillner,J., Forslund,O.	Lund University, Department of Laboratory Medicine	Sweden	2013-01-29	SE87	Gammapapillomavirus 23	Gammapapillomavirus	Papillomaviridae	dsDNA	7226	complete	NA	1	Sweden	Sweden	Homo sapiens	lesion	2009			Human papillomavirus type 175 isolate SE87, complete genome	HPV_175	Global	2009-07-01	KC108721_1|Global|HPV_175|SE87|2009-07-01
KC108722.1	Human papillomavirus 180	GenBank	set:KC108722		Johansson,H., Bzhalava,D., Ekstrom,J., Hultin,E., Dillner,J., Forslund,O.	Lund University, Department of Laboratory Medicine	Sweden	2013-01-29	FA69	Gammapapillomavirus 10	Gammapapillomavirus	Papillomaviridae	dsDNA	7356	complete	NA	1	Sweden	Sweden	Homo sapiens	lesion	2009			Human papillomavirus type 180 isolate FA69, complete genome	HPV_180	Global	2009-07-01	KC108722_1|Global|HPV_180|FA69|2009-07-01
JX429973.1	Human papillomavirus type 156	GenBank	set:JX429973		Chouhy,D., Bolatti,E.M., Piccirilli,G., Sanchez,A., Fernandez Bussy,R., Giri,A.A.	Instituto de Biologia Molecular y Celular de Rosario - CONICET, Microbiologia	Argentina	2012-11-06	GC01	Gammapapillomavirus 18	Gammapapillomavirus	Papillomaviridae	dsDNA	7329	complete	NA	1	Argentina	Argentina	Homo sapiens	skin	2008			Human papillomavirus type 156 isolate GC01, complete genome	HPV_156	Global	2008-07-01	JX429973_1|Global|HPV_156|GC01|2008-07-01
JQ004092.1	Human papillomavirus type 16	GenBank	set:JQ004092		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU8	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7911	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU8, complete genome	HPV_16	Global	2010-07-01	JQ004092_1|Global|HPV_16|CU8|2010-07-01
JQ004093.1	Human papillomavirus type 16	GenBank	set:JQ004093		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU9	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7973	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU9, complete genome	HPV_16	Global	2010-07-01	JQ004093_1|Global|HPV_16|CU9|2010-07-01
JQ004094.1	Human papillomavirus type 16	GenBank	set:JQ004094		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU10	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7905	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU10, complete genome	HPV_16	Global	2010-07-01	JQ004094_1|Global|HPV_16|CU10|2010-07-01
JQ004095.1	Human papillomavirus type 16	GenBank	set:JQ004095		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU11	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7906	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU11, complete genome	HPV_16	Global	2010-07-01	JQ004095_1|Global|HPV_16|CU11|2010-07-01
JQ004096.1	Human papillomavirus type 16	GenBank	set:JQ004096		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU12	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7905	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU12, complete genome	HPV_16	Global	2010-07-01	JQ004096_1|Global|HPV_16|CU12|2010-07-01
JQ004097.1	Human papillomavirus type 16	GenBank	set:JQ004097		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU13	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7907	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU13, complete genome	HPV_16	Global	2010-07-01	JQ004097_1|Global|HPV_16|CU13|2010-07-01
JQ004098.1	Human papillomavirus type 16	GenBank	set:JQ004098		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU14	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7906	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU14, complete genome	HPV_16	Global	2010-07-01	JQ004098_1|Global|HPV_16|CU14|2010-07-01
JQ004099.1	Human papillomavirus type 16	GenBank	set:JQ004099		Chansaenroj,J., Theamboonlers,A., Chinchai,T., Junyangdikul,P., Swangvaree,S., Karalak,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Paediatrics	Thailand	2012-10-31	CU15	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7881	complete	NA	NA	Thailand	Thailand	Homo sapiens		2010			Human papillomavirus type 16 strain CU15, complete genome	HPV_16	Global	2010-07-01	JQ004099_1|Global|HPV_16|CU15|2010-07-01
JX413104.1	human papillomavirus 166	GenBank	set:JX413104		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC9	Gammapapillomavirus 19	Gammapapillomavirus	Papillomaviridae	dsDNA	7212	complete	NA	1	China	China	Homo sapiens		2008-10-30			Human papillomavirus type 166 isolate KC9, complete genome	HPV_166	Global	2008-10-30	JX413104_1|Global|HPV_166|KC9|2008-10-30
JX413105.1	Human papillomavirus 169	GenBank	set:JX413105		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC6	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7252	complete	NA	1	China	China	Homo sapiens		2008-11-01			Human papillomavirus type 169 isolate KC6, complete genome	HPV_169	Global	2008-11-01	JX413105_1|Global|HPV_169|KC6|2008-11-01
JX413106.1	human papillomavirus 164	GenBank	set:JX413106		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC4	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	dsDNA	7233	complete	NA	1	China	China	Homo sapiens		2008-11-30			Human papillomavirus type 164 isolate KC4, complete genome	HPV_164	Global	2008-11-30	JX413106_1|Global|HPV_164|KC4|2008-11-30
JX413107.1	human papillomavirus 163	GenBank	set:JX413107		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC3	Gammapapillomavirus 20	Gammapapillomavirus	Papillomaviridae	dsDNA	7233	complete	NA	1	China	China	Homo sapiens		2008-10-26			Human papillomavirus type 163 isolate KC3, complete genome	HPV_163	Global	2008-10-26	JX413107_1|Global|HPV_163|KC3|2008-10-26
JX413108.1	human papillomavirus 162	GenBank	set:JX413108		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC2	Gammapapillomavirus 19	Gammapapillomavirus	Papillomaviridae	dsDNA	7214	complete	NA	1	China	China	Homo sapiens		2008-11-12			Human papillomavirus type 162 isolate KC2, complete genome	HPV_162	Global	2008-11-12	JX413108_1|Global|HPV_162|KC2|2008-11-12
JX413109.1	Human papillomavirus type 161	GenBank	set:JX413109		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC1	Gammapapillomavirus 19	Gammapapillomavirus	Papillomaviridae	dsDNA	7238	complete	NA	1	China	China	Homo sapiens		2008-11-03			Human papillomavirus type 161 isolate KC1, complete genome	HPV_161	Global	2008-11-03	JX413109_1|Global|HPV_161|KC1|2008-11-03
JX413110.1	Human papillomavirus 170	GenBank	set:JX413110		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC8	Gammapapillomavirus 7	Gammapapillomavirus	Papillomaviridae	dsDNA	7417	complete	NA	1	China	China	Homo sapiens		2008-10-30			Human papillomavirus type 170 isolate KC8, complete genome	HPV_170	Global	2008-10-30	JX413110_1|Global|HPV_170|KC8|2008-10-30
JX444072.1	Human papillomavirus 165	GenBank	set:JX444072		Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Jingjing,L., Hong,C., Yang,K.	Peking University Cancer Hospital & Institute, Genetic Department	China	2012-10-23	KC7	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	dsDNA	7129	complete	NA	1	China	China	Homo sapiens		2008-11-12			Human papillomavirus type 165 isolate KC7, complete genome	HPV_165	Global	2008-11-12	JX444072_1|Global|HPV_165|KC7|2008-11-12
JQ773408.1	human papillomavirus 11	GenBank	set:JQ773408		Chansaenroj,J., Theamboonlers,A., Junyangdikul,P., Supiyaphan,P., Poovorawan,Y.	Center of Excellence in Clinical Virology, Faculty of Medicine	Thailand	2012-10-02	CU16	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	1	Thailand	Thailand	Homo sapiens		2011-06			Human papillomavirus type 11 strain CU16, complete genome	HPV_11	Global	2011-06-15	JQ773408_1|Global|HPV_11|CU16|2011-06-15
JQ773409.1	human papillomavirus 11	GenBank	set:JQ773409		Chansaenroj,J., Theamboonlers,A., Junyangdikul,P., Supiyaphan,P., Poovorawan,Y.	Center of Excellence in Clinical Virology, Faculty of Medicine	Thailand	2012-10-02	CU17	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	1	Thailand	Thailand	Homo sapiens		2011-07			Human papillomavirus type 11 strain CU17, complete genome	HPV_11	Global	2011-07-15	JQ773409_1|Global|HPV_11|CU17|2011-07-15
JQ773410.1	human papillomavirus 11	GenBank	set:JQ773410		Chansaenroj,J., Theamboonlers,A., Junyangdikul,P., Supiyaphan,P., Poovorawan,Y.	Center of Excellence in Clinical Virology, Faculty of Medicine	Thailand	2012-10-02	CU18	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	1	Thailand	Thailand	Homo sapiens		2011-11			Human papillomavirus type 11 strain CU18, complete genome	HPV_11	Global	2011-11-15	JQ773410_1|Global|HPV_11|CU18|2011-11-15
JQ773411.1	human papillomavirus 11	GenBank	set:JQ773411		Chansaenroj,J., Theamboonlers,A., Junyangdikul,P., Supiyaphan,P., Poovorawan,Y.	Center of Excellence in Clinical Virology, Faculty of Medicine	Thailand	2012-10-02	CU19	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	1	Thailand	Thailand	Homo sapiens		2011-12			Human papillomavirus type 11 strain CU19, complete genome	HPV_11	Global	2011-12-15	JQ773411_1|Global|HPV_11|CU19|2011-12-15
JQ773412.1	human papillomavirus 11	GenBank	set:JQ773412		Chansaenroj,J., Theamboonlers,A., Junyangdikul,P., Supiyaphan,P., Poovorawan,Y.	Center of Excellence in Clinical Virology, Faculty of Medicine	Thailand	2012-10-02	CU20	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	1	Thailand	Thailand	Homo sapiens		2012-01			Human papillomavirus type 11 strain CU20, complete genome	HPV_11	Global	2012-01-15	JQ773412_1|Global|HPV_11|CU20|2012-01-15
HM999990.1	Human papillomavirus 138	GenBank	set:HM999990		Chen,Z., Sun,C., Bottalico,D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-07-31	GH13	Gammapapillomavirus 7	Gammapapillomavirus	Papillomaviridae	dsDNA	7353	complete	NA	NA	USA	USA	Homo sapiens		2009			Human papillomavirus type 138 isolate GH13, complete genome	HPV_138	Global	2009-07-01	HM999990_1|Global|HPV_138|GH13|2009-07-01
HM999991.1	Human papillomavirus 139	GenBank	set:HM999991		Chen,Z., Sun,C., Bottalico,D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-07-31	GH1646	Gammapapillomavirus 7	Gammapapillomavirus	Papillomaviridae	dsDNA	7360	complete	NA	NA	USA	USA	Homo sapiens		2009			Human papillomavirus type 139 isolate GH1646, complete genome	HPV_139	Global	2009-07-01	HM999991_1|Global|HPV_139|GH1646|2009-07-01
HM999994.1	Human papillomavirus 142	GenBank	set:HM999994		Chen,Z., Sun,C., Bottalico,D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-07-31	GH1302	Gammapapillomavirus 10	Gammapapillomavirus	Papillomaviridae	dsDNA	7374	complete	NA	NA	USA	USA	Homo sapiens		2009			Human papillomavirus type 142 isolate GH1302, complete genome	HPV_142	Global	2009-07-01	HM999994_1|Global|HPV_142|GH1302|2009-07-01
HM999998.1	Human papillomavirus 146	GenBank	set:HM999998		Chen,Z., Sun,C., Bottalico,D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-07-31	GH1677	Gammapapillomavirus 15	Gammapapillomavirus	Papillomaviridae	dsDNA	7265	complete	NA	NA	USA	USA	Homo sapiens		2009			Human papillomavirus type 146 isolate GH1677, complete genome	HPV_146	Global	2009-07-01	HM999998_1|Global|HPV_146|GH1677|2009-07-01
HM999999.1	human papillomavirus 147	GenBank	set:HM999999		Chen,Z., Sun,C., Bottalico,D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-07-31	GH659	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	dsDNA	7224	complete	NA	NA	USA	USA	Homo sapiens		2009			Human papillomavirus type 147 isolate GH659, complete genome	HPV_147	Global	2009-07-01	HM999999_1|Global|HPV_147|GH659|2009-07-01
JQ067943.1	Human papillomavirus type 16	GenBank	set:JQ067943		Sabol,I., Matovina,M., Si-Mohamed,A., Grce,M.	Rudjer Boskovic Institute, Molecular Medicine	Croatia	2012-07-28	ZG03-145	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7973	complete	NA	1	Croatia	Croatia	Homo sapiens		2003			Human papillomavirus type 16 strain ZG03-145, complete genome	HPV_16	Global	2003-07-01	JQ067943_1|Global|HPV_16|ZG03-145|2003-07-01
JQ067944.1	Human papillomavirus type 16	GenBank	set:JQ067944		Sabol,I., Matovina,M., Si-Mohamed,A., Grce,M.	Rudjer Boskovic Institute, Molecular Medicine	Croatia	2012-07-28	ZG05-249	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7973	complete	NA	1	Croatia	Croatia	Homo sapiens		2005			Human papillomavirus type 16 strain ZG05-249, complete genome	HPV_16	Global	2005-07-01	JQ067944_1|Global|HPV_16|ZG05-249|2005-07-01
JX129485.1	human papillomavirus 35	GenBank	set:JX129485		Marincevic-Zuniga,Y., Gustavsson,I., Gyllensten,U.	Immunology, Genetics & Pathology	Sweden	2012-07-14	UA3189	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7820	complete	9	1	Sweden	Sweden	Homo sapiens		2010			Human papillomavirus type 35 isolate UA3189, complete genome	HPV_35	Global	2010-07-01	JX129485_1|Global|HPV_35|UA3189|2010-07-01
JX129486.1	human papillomavirus 35	GenBank	set:JX129486		Marincevic-Zuniga,Y., Gustavsson,I., Gyllensten,U.	Immunology, Genetics & Pathology	Sweden	2012-07-14	UA3297	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7894	complete	9	1	Sweden	Sweden	Homo sapiens		2010			Human papillomavirus type 35 isolate UA3297, complete genome	HPV_35	Global	2010-07-01	JX129486_1|Global|HPV_35|UA3297|2010-07-01
JX129487.1	human papillomavirus 35	GenBank	set:JX129487		Marincevic-Zuniga,Y., Gustavsson,I., Gyllensten,U.	Immunology, Genetics & Pathology	Sweden	2012-07-14	UA892	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7879	complete	9	1	Sweden	Sweden	Homo sapiens		2010			Human papillomavirus type 35 isolate UA892, complete genome	HPV_35	Global	2010-07-01	JX129487_1|Global|HPV_35|UA892|2010-07-01
JX129488.1	human papillomavirus 35	GenBank	set:JX129488		Marincevic-Zuniga,Y., Gustavsson,I., Gyllensten,U.	Immunology, Genetics & Pathology	Sweden	2012-07-14	UA151	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7879	complete	9	1	South Africa	South Africa	Homo sapiens		2008			Human papillomavirus type 35 isolate UA151, complete genome	HPV_35	Global	2008-07-01	JX129488_1|Global|HPV_35|UA151|2008-07-01
JN252314.1	Human papillomavirus type 6	GenBank	set:JN252314		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV2345	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8032	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV2345, complete genome	HPV_6	Global	2009-07-01	JN252314_1|Global|HPV_6|PV2345|2009-07-01
JN252315.1	Human papillomavirus type 6	GenBank	set:JN252315		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV529	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8031	complete	NA	1	Sweden	Sweden	Homo sapiens	oronasopharynx	2009			Human papillomavirus type 6 isolate PV529, complete genome	HPV_6	Global	2009-07-01	JN252315_1|Global|HPV_6|PV529|2009-07-01
JN252316.1	Human papillomavirus type 6	GenBank	set:JN252316		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV1666	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8031	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV1666, complete genome	HPV_6	Global	2009-07-01	JN252316_1|Global|HPV_6|PV1666|2009-07-01
JN252317.1	Human papillomavirus type 6	GenBank	set:JN252317		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV1731	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8031	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV1731, complete genome	HPV_6	Global	2009-07-01	JN252317_1|Global|HPV_6|PV1731|2009-07-01
JN252318.1	Human papillomavirus type 6	GenBank	set:JN252318		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV1774	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8031	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV1774, complete genome	HPV_6	Global	2009-07-01	JN252318_1|Global|HPV_6|PV1774|2009-07-01
JN252319.1	Human papillomavirus type 6	GenBank	set:JN252319		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV2530	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8031	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV2530, complete genome	HPV_6	Global	2009-07-01	JN252319_1|Global|HPV_6|PV2530|2009-07-01
